"SID","station_group"
1414,"West Norway"
1407,"West Norway"
1406,"West Norway"
1342,"West Norway"
1340,"West Norway"
1329,"West Norway"
1418,"West Norway"
1327,"West Norway"
1311,"West Norway"
1317,"West Norway"
1314,"West Norway"
1315,"West Norway"
1337,"West Norway"
1344,"West Norway"
1326,"West Norway"
1307,"West Norway"
1319,"West Norway"
1338,"West Norway"
1345,"West Norway"
1346,"West Norway"
1355,"West Norway"
1364,"West Norway"
1356,"West Norway"
1366,"West Norway"
1347,"West Norway"
1332,"West Norway"
1308,"West Norway"
1323,"West Norway"
1322,"West Norway"
1310,"West Norway"
1304,"West Norway"
1204,"West Norway"
1318,"West Norway"
1320,"West Norway"
1321,"West Norway"
1203,"West Norway"
1207,"West Norway"
1209,"West Norway"
1205,"West Norway"
1515,"West Norway"
1218,"West Norway"
1229,"West Norway"
1224,"West Norway"
1210,"West Norway"
1214,"West Norway"
1517,"West Norway"
1220,"West Norway"
1232,"West Norway"
1230,"West Norway"
1217,"West Norway"
1212,"West Norway"
1226,"West Norway"
1245,"West Norway"
1223,"West Norway"
1221,"West Norway"
1225,"West Norway"
1237,"West Norway"
1228,"West Norway"
1234,"West Norway"
1253,"West Norway"
1254,"West Norway"
1273,"West Norway"
1257,"West Norway"
1271,"West Norway"
1270,"West Norway"
1293,"West Norway"
1272,"West Norway"
1278,"West Norway"
1124,"West Norway"
1277,"West Norway"
1241,"West Norway"
1242,"West Norway"
1240,"West Norway"
1259,"West Norway"
1290,"West Norway"
1298,"West Norway"
1291,"West Norway"
1281,"West Norway"
1282,"West Norway"
1262,"West Norway"
1102,"West Norway"
1397,"East Norway"
1392,"East Norway"
1484,"East Norway"
1493,"East Norway"
1500,"East Norway"
1466,"East Norway"
1384,"East Norway"
1507,"East Norway"
1468,"East Norway"
1472,"East Norway"
1388,"East Norway"
1389,"East Norway"
1383,"East Norway"
1604,"East Norway"
1605,"East Norway"
1250,"East Norway"
1239,"East Norway"
1265,"East Norway"
1288,"East Norway"
1381,"East Norway"
1386,"East Norway"
1385,"East Norway"
1382,"East Norway"
1378,"East Norway"
1387,"East Norway"
1375,"East Norway"
